TC_ID,IterationID,Run,ProjectName,TimeUnit,StartDate,StudyObjective,Phase,TargetPopulation,TreatmentArm,Priority,EndpointName,EndpointType,BetterResponse,Control Arm,followUpTime
TC_21,ITER_01,TRUE,AutoProj_ROP,Week,8/10/2026,Two Arm Confirmatory,3,Adult,EXP,Primary,EPBin,Binary,Larger Value,Control,2
TC_21,ITER_02,TRUE,AutoProj_ROP,Month,8/10/2026,Two Arm Confirmatory,3,Adult,EXP,Primary,EPBin,Binary,Larger Value,Control,3.25
TC_21,ITER_03,TRUE,AutoProj_ROP,Year,8/10/2026,Two Arm Confirmatory,3,Adult,EXP,Primary,EPBin,Binary,Larger Value,Control,0.5
TC_21,ITER_04,TRUE,AutoProj_ROP,Day,8/10/2026,Two Arm Confirmatory,3,Adult,EXP,Primary,EPBin,Binary,Smaller Value,Control,2.22
TC_21,ITER_05,TRUE,AutoProj_ROP,Week,8/10/2026,Two Arm Confirmatory,3,Adult,EXP,Primary,EPBin,Binary,Larger Value,Control,3.333
TC_21,ITER_06,TRUE,AutoProj_ROP,Week,8/10/2026,Two Arm Confirmatory,3,Adult,EXP,Primary,EPBin,Binary,Larger Value,Control,4.852
TC_21,ITER_07,TRUE,AutoProj_ROP,Month,8/10/2026,Two Arm Confirmatory,3,Adult,EXP,Primary,EPBin,Binary,Larger Value,Control,3.123
TC_21,ITER_08,TRUE,AutoProj_ROP,Week,8/10/2026,Two Arm Confirmatory,3,Adult,EXP,Primary,EPBin,Binary,Larger Value,Control,3.0856
TC_21,ITER_09,TRUE,AutoProj_ROP,Day,8/10/2026,Two Arm Confirmatory,3,Adult,EXP,Primary,EPBin,Binary,Larger Value,Control,10
TC_21,ITER_10,TRUE,AutoProj_ROP,Year,8/10/2026,Two Arm Confirmatory,3,Adult,EXP,Primary,EPBin,Binary,Larger Value,Control,0.23
TC_21,ITER_11,TRUE,AutoProj_ROP,Year,8/11/2026,Two Arm Confirmatory,2,Adult,EXP,Primary,EPBin,Binary,Larger Value,Control,0.225
